Data Posição;Data Chegada;Ignição;Odômetro;Horímetro;RPM;T1;T2;T3;US;TS;TD1;TD2;TD3;UD1;UD2;UD3;Memória;Satelital;Ponto de Ref. Embarcado;Ponto de Referência;Sensores Inibidos;S. em modo seguro;A. em modo seguro;Cidade;UF
20/10/2025 14:30:35;20/10/2025 14:30:35;NAO;683348,9;12876h 10m;0;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:30:33;20/10/2025 14:30:34;NAO;683348,9;12876h 10m;564;-13;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:29:57;20/10/2025 14:29:58;SIM;683348,9;12876h 9m;564;-11;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:28:57;20/10/2025 14:28:57;SIM;683348,8;12876h 8m;569;-10;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:27:52;20/10/2025 14:27:53;SIM;683348,8;12876h 7m;565;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:27:12;20/10/2025 14:27:12;SIM;683348,8;12876h 6m;0;-6;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:27:03;20/10/2025 14:27:04;SIM;683348,8;12876h 6m;0;-6;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:26:58;20/10/2025 14:26:58;SIM;683348,8;12876h 6m;0;-6;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:24:19;20/10/2025 14:24:20;NAO;683348,8;12876h 6m;0;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
20/10/2025 14:24:16;20/10/2025 14:24:17;NAO;683348,8;12876h 6m;566;-9;-;-;-;-;N/A;N/A;N/A;N/A;N/A;N/A;NAO;NAO;" ";" ";-;SBT / SPC / VPa;Sir;Fortaleza;CE
